time,open,high,low,close,volume
1970-01-01 00:18:50,194.12,198.97,187.13,197.38,176
1970-01-01 00:19:00,197.38,201.25,186.45,186.53,177
1970-01-01 00:19:10,187.71,192.35,181.16,182.78,121
1970-01-01 00:19:20,181.89,196.58,176.03,176.03,174
1970-01-01 00:19:30,175.97,201.55,171.96,201.49,136
1970-01-01 00:19:40,199.68,205.11,165.31,198.96,156
1970-01-01 00:19:50,197.01,210.97,193.48,193.48,142
1970-01-01 00:20:00,193.59,217.22,189.92,210.58,162
1970-01-01 00:20:10,210.04,222.56,198.93,220.02,143
1970-01-01 00:20:20,219.71,232.38,187.02,188.64,141
1970-01-01 00:20:30,186.96,198.3,175.66,197.2,164
1970-01-01 00:20:40,196.76,207.25,170.66,204.17,144
1970-01-01 00:20:50,204.61,210.64,192.34,206.26,150
1970-01-01 00:21:00,206.26,215.24,189.91,190.61,151
1970-01-01 00:21:10,190.42,219.89,180.38,180.38,159
1970-01-01 00:21:20,181.02,225.62,170.93,171.46,174
1970-01-01 00:21:30,171.46,232.36,169.58,172.51,138
1970-01-01 00:21:40,170.85,238.23,167.1,168.9,170
1970-01-01 00:21:50,169.23,170.97,158.76,170.97,145
1970-01-01 00:22:00,170.97,175.82,151.82,151.82,152
1970-01-01 00:22:10,151.82,176.73,144.4,144.4,136
1970-01-01 00:22:20,144.4,181.84,139.26,173.42,174
1970-01-01 00:22:30,173.82,186.7,164.87,164.93,119
1970-01-01 00:22:40,164.93,190.77,155.55,155.55,171
1970-01-01 00:22:50,155.55,190.52,150.99,152.74,152
1970-01-01 00:23:00,152.74,156.52,147.01,147.5,154
1970-01-01 00:23:10,147.55,152.82,144.21,144.21,137
1970-01-01 00:23:20,144.21,164.01,139.81,141.16,183
1970-01-01 00:23:30,138.54,174.29,134.75,172.36,165
1970-01-01 00:23:40,172.21,175.53,161.18,161.18,119
1970-01-01 00:23:50,161.18,176.57,156.93,176.57,182
1970-01-01 00:24:00,155.6,184.79,152.03,153.88,164
1970-01-01 00:24:10,153.88,160.1,146.29,159.37,152
1970-01-01 00:24:20,159.02,164.13,136.56,136.56,137
1970-01-01 00:24:30,136.72,175.51,134.0,175.51,178
1970-01-01 00:24:40,176.18,181.03,129.97,179.19,159
1970-01-01 00:24:50,129.97,189.54,127.1,189.07,151
1970-01-01 00:25:00,185.93,192.75,176.69,178.04,146
1970-01-01 00:25:10,176.61,203.48,172.01,196.93,167
1970-01-01 00:25:20,171.44,210.34,164.9,165.04,143
1970-01-01 00:25:30,163.83,215.91,156.06,156.06,177
1970-01-01 00:25:40,156.87,222.06,155.77,220.43,146
1970-01-01 00:25:50,220.44,229.69,209.74,210.79,144
1970-01-01 00:26:00,210.79,233.37,199.41,199.41,148
1970-01-01 00:26:10,199.41,251.33,195.16,196.32,165
1970-01-01 00:26:20,195.59,206.15,193.58,201.64,142
1970-01-01 00:26:30,201.64,221.56,196.49,210.86,178
1970-01-01 00:26:40,197.48,201.82,187.6,188.53,128
1970-01-01 00:26:50,187.03,208.49,181.61,181.89,169
1970-01-01 00:27:00,181.62,218.67,176.92,177.18,151
1970-01-01 00:27:10,177.18,182.59,175.68,182.38,153
1970-01-01 00:27:20,181.52,191.63,175.64,175.64,142
1970-01-01 00:27:30,174.68,198.64,167.73,172.63,156
1970-01-01 00:27:40,172.63,179.63,167.2,167.45,151
1970-01-01 00:27:50,167.54,185.24,162.64,162.78,126
1970-01-01 00:28:00,162.78,188.75,155.51,159.25,200
1970-01-01 00:28:10,187.34,191.77,152.05,189.92,151
1970-01-01 00:28:20,190.35,198.8,143.16,145.12,166
1970-01-01 00:28:30,144.87,156.15,142.81,156.15,129
1970-01-01 00:28:40,143.21,159.68,136.84,143.74,179
1970-01-01 00:28:50,136.38,144.21,129.88,133.89,166
1970-01-01 00:29:00,130.55,133.36,125.41,125.41,128
1970-01-01 00:29:10,125.31,133.84,122.54,123.94,89
1970-01-01 00:29:20,123.94,128.31,118.46,128.28,206
1970-01-01 00:29:30,128.28,131.66,117.66,118.65,168
1970-01-01 00:29:40,118.65,126.61,116.78,122.91,177
1970-01-01 00:29:50,116.09,129.86,108.01,129.26,152
1970-01-01 00:30:00,129.26,135.26,101.47,101.47,167
1970-01-01 00:30:10,101.39,140.91,98.38,99.41,146
1970-01-01 00:30:20,99.04,101.63,97.09,99.85,151
1970-01-01 00:30:30,99.85,108.01,94.3,94.92,170
1970-01-01 00:30:40,94.2,114.46,92.76,113.88,137
1970-01-01 00:30:50,114.06,116.46,101.85,101.85,175
1970-01-01 00:31:00,100.89,123.08,97.05,97.6,160
1970-01-01 00:31:10,97.6,129.04,93.16,93.16,149
1970-01-01 00:31:20,92.38,135.62,91.4,92.22,152
1970-01-01 00:31:30,92.22,141.37,87.05,87.6,184
1970-01-01 00:31:40,86.72,89.44,81.4,83.82,140
1970-01-01 00:31:50,83.19,88.99,79.48,88.36,168
