time,price
1601001,93.64
1601201,82.58
1601601,82.54
1601601,82.92
1601601,83.43
1601801,83.46
1602001,83.65
1602201,83.65
1602601,83.65
1602601,84.34
1602601,84.39
1602601,84.36
1602601,83.92
1602601,84.10
1602601,84.23
1603001,84.98
1603201,84.26
1603201,84.12
1603401,83.85
1603601,83.84
1603801,83.84
1603801,83.80
1604001,83.68
1604001,83.84
1604201,83.65
1604401,83.81
1604601,83.81
1604601,83.81
1605001,83.81
1605201,83.81
1605401,83.88
1605401,83.92
1605401,84.52
1605401,83.88
1605401,85.54
1605401,83.81
1605401,83.84
1605401,83.85
1605401,85.50
1605401,84.63
1605401,84.98
1605401,84.93
1605601,86.10
1605801,85.70
1606001,86.06
1606001,86.06
1606601,86.06
1606601,86.07
1606601,86.58
1606601,86.79
1606601,86.15
1606601,86.49
1606601,86.49
1606601,86.06
1606801,87.16
1606801,87.52
1607001,86.97
1607201,86.98
1607401,86.65
1607401,86.14
1607401,85.46
1607401,85.21
1607401,83.81
1607401,81.78
1607401,82.39
1607401,85.25
1607401,82.54
1607401,86.06
1607401,86.06
1607401,86.06
1607401,83.02
1607401,82.52
1607401,82.99
1607401,82.69
1607401,83.31
1607401,82.86
1607401,83.54
1607401,86.47
1607401,83.51
1607401,83.26
1607401,83.19
1607401,83.26
1607401,83.81
1607401,83.35
1607401,83.33
1607401,83.81
1607401,83.65
1607401,83.65
1607401,83.65
1607401,83.81
1607401,83.81
1607601,81.08
1607801,80.80
1608401,80.97
1608401,80.97
1608601,80.97
1608601,80.97
1608601,80.53
1608601,80.40
1608601,80.97
1608601,80.81
1608601,80.65
1609001,80.89
1609201,80.89
1609201,80.89
1609601,80.89
1609801,80.89
1609801,80.85
1609801,80.45
1609801,80.13
1609801,80.46
1609801,80.89
1609801,80.89
1609801,80.89
1609801,79.87
1610201,79.80
1610401,80.58
1610601,80.47
1610801,80.31
1611001,80.13
1611201,80.35
1611201,80.97
1611201,81.19
1611201,81.23
1611201,81.15
1611201,80.83
1611201,80.89
1611201,81.75
1611201,81.51
1611201,81.54
1611201,87.26
1611201,87.70
1611201,87.49
1611201,81.34
1611201,81.59
1611201,81.72
1611201,81.46
1611201,81.51
1611201,81.51
1611201,81.24
1611201,81.26
1611201,81.25
1612601,87.33
1613001,87.33
1613201,87.33
1613201,87.66
1613201,87.72
1613201,87.83
1613201,87.71
1613201,88.41
1613201,87.49
1613201,87.56
1613201,87.61
1613201,88.21
1613201,88.38
1613201,88.51
1613201,88.57
1613201,87.96
1613201,88.39
1613201,88.39
1613201,87.86
1613201,88.00
1613201,88.10
1613201,88.07
1613201,87.91
1613201,87.94
1613601,89.11
1613601,89.11
1613801,89.32
1614001,89.39
1614001,89.52
1614201,89.39
1614201,89.14
1614201,88.60
1614201,87.33
1614201,87.33
1614201,79.37
1614201,87.33
1614201,89.11
1614201,89.03
1614201,88.67
1614201,79.52
1614201,79.45
1614201,79.41
1614201,86.59
1614201,79.42
1614201,87.14
1614201,89.39
1614201,87.07
1614201,79.96
1614201,79.74
1614201,79.76
1614201,87.33
1614201,86.99
1614201,86.93
1614201,87.33
1614201,87.33
1614201,87.21
1614201,87.25
1614201,87.33
1614201,87.33
1614401,89.70
1614401,89.70
1614601,89.70
1614601,89.70
1615001,89.18
1615201,89.18
1615401,89.18
1615401,88.73
1616401,88.09
1616401,88.54
1616401,89.04
1616401,89.11
1616401,88.77
1616401,90.16
1616401,88.10
1616401,88.31
1616401,88.33
1616401,89.42
1616401,88.00
1616401,90.36
1616401,90.38
1616401,89.16
1616401,89.70
1616401,90.01
1616401,89.73
1616401,89.18
1616401,89.22
1616601,90.67
1616801,90.64
1617001,91.15
1618001,90.71
1618001,90.71
1618001,90.71
1618001,90.61
1618001,90.71
1618001,88.00
1618001,90.71
1618001,90.71
1618001,90.71
1618001,88.00
1618001,88.00
1618001,87.91
1618001,88.00
1618001,88.00
1618001,88.00
1618001,88.00
1618001,88.00
1618001,90.34
1618001,88.00
1618001,88.00
1618001,90.60
1618001,90.24
1618001,90.17
1618001,90.17
1618001,90.58
1618001,90.36
1618201,87.26
1618401,87.31
1618401,87.31
1618601,86.86
1618601,86.43
1619001,86.08
1619001,86.43
1619201,86.72
1619201,86.71
1619201,86.09
1619201,85.58
1619201,86.74
1619401,86.22
1619601,86.21
1619601,86.74
1619801,86.74
1619801,86.74
1620201,86.74
1620401,86.74
1621001,87.30
1621001,87.40
1621001,87.48
1621001,87.38
1621001,86.74
1621001,86.74
1621001,87.00
1621001,91.55
1621001,90.87
1621001,91.92
1621001,91.92
1621001,91.94
1621001,86.74
1621001,86.74
1621001,86.74
1621001,91.00
1621001,85.95
1621001,85.88
1621001,85.77
1621001,86.03
1621001,86.38
1621001,86.41
1621001,86.53
1621001,86.70
1621001,86.74
1621001,91.51
1621001,91.07
1621001,86.07
1621001,86.40
1621001,87.60
1621001,90.82
1621001,90.71
1621201,85.60
1621401,86.61
1621601,85.97
1621601,85.83
1621801,85.52
1621801,85.61
1622001,85.61
1622001,85.03
1622001,84.91
1622001,84.80
1622401,84.87
1622401,84.87
1622601,84.40
1622801,84.07
1622801,83.87
1624601,83.06
1624801,83.06
1625201,83.06
1625401,83.06
1625601,83.06
1625601,83.15
1625601,83.22
1625601,83.35
1625601,83.37
1625601,86.71
1625601,85.98
1625601,83.27
1625601,85.15
1625601,83.15
1625601,83.19
1625601,83.22
1625601,84.59
1625601,85.72
1625601,84.87
1625601,85.06
1625601,84.07
1625601,84.88
1625601,83.74
1625601,83.06
1625601,83.87
1625601,84.31
1625601,84.48
1625601,84.37
1625601,83.50
1625601,83.97
1625601,84.00
1625601,83.40
1625601,83.53
1625601,83.72
1625601,83.68
1625601,83.43
1625601,83.48
1625801,83.06
1625801,83.06
1625801,83.06
1625801,83.06
1625801,83.06
1625801,83.06
1625801,83.06
1625801,83.06
1625801,82.88
1625801,83.06
1625801,83.05
1625801,82.87
1625801,82.46
1625801,82.53
1625801,83.06
1625801,83.03
1625801,82.94
1625801,87.52
1625801,83.06
1625801,83.06
1625801,83.06
1625801,83.06
1625801,83.06
1625801,83.06
1626001,88.37
1626201,87.65
1626201,87.19
1626401,87.65
1627201,86.39
1627201,87.18
1627201,87.75
1627201,87.75
1627201,87.68
1627201,88.50
1627201,86.85
1627201,86.93
1627201,87.06
1627201,87.97
1627201,88.13
1627201,88.31
1627401,89.09
1627801,88.82
1627801,89.20
1627801,89.70
1627801,89.47
1627801,88.89
1627801,88.96
1627801,88.99
1628001,90.38
1628201,90.33
1628401,90.05
1628601,90.05
1628601,88.82
1628601,86.39
1628601,86.39
1628601,86.39
1628601,86.39
1628601,88.82
1628601,86.39
1628601,86.39
1628601,89.57
1628601,86.39
1628601,86.39
1628801,89.77
1629001,89.54
1629001,89.37
1629401,89.66
1629401,90.11
1629401,90.33
1629401,90.39
1629401,90.15
1629401,89.84
1629401,89.97
1629401,90.01
1629401,90.48
1629401,91.11
1629801,90.57
1629801,90.76
1630201,91.46
1630401,91.46
1630601,91.54
1630601,92.06
1630601,91.46
1630601,91.65
1630601,91.66
1630601,91.90
1630601,91.46
1631001,91.74
1631001,91.10
1631001,90.74
1631001,90.68
1631001,91.01
1631001,89.21
1631001,91.56
1631001,91.29
1631001,90.36
1631001,89.00
1631001,86.36
1631001,90.35
1631001,89.45
1631001,89.50
1631001,90.68
1631001,90.51
1631001,90.63
1631201,86.39
1631601,86.39
1631601,86.39
1632001,86.30
1632201,86.39
1632201,87.00
1632201,87.05
1632201,87.02
1632201,86.68
1632201,86.76
1632801,87.02
1632801,87.12
1632801,86.41
1632801,86.82
1633001,87.79
1633401,88.39
1633601,88.61
1633801,88.30
1634001,88.54
1634401,88.37
1634601,88.37
1634601,88.61
1634601,88.72
1634601,88.91
1634601,88.64
1634601,88.51
1634601,88.54
1634601,88.55
1634601,88.95
1634601,88.95
1634801,89.44
1635001,89.75
1635001,89.75
1635201,89.75
1635801,89.75
1635801,89.75
1635801,89.39
1635801,88.37
1635801,88.22
1635801,88.14
1635801,85.78
1635801,85.79
1635801,85.79
1635801,88.37
1635801,85.88
1635801,89.01
1635801,88.81
1635801,88.37
1635801,86.35
1635801,85.84
1635801,86.30
1635801,85.93
1635801,86.41
1635801,86.20
1635801,86.75
1635801,89.62
1635801,86.41
1635801,86.41
1635801,86.38
1635801,86.39
1635801,87.93
1635801,86.41
1635801,86.41
1635801,88.11
1635801,87.76
1635801,87.01
1635801,87.17
1635801,87.99
1635801,87.93
1636001,89.51
1636001,89.75
1636001,90.39
1636001,90.55
1636001,90.59
1636001,90.52
1636001,90.16
1636001,90.25
1636001,90.35
1636201,90.96
1636201,85.26
1636201,90.58
1636201,90.02
1636201,89.65
1636401,85.35
1636601,85.36
1637001,85.59
1637401,85.68
1637401,86.15
1637401,85.59
1637401,85.74
1637401,85.79
1637401,85.83
1637401,85.59
1637601,86.30
1638001,86.17
1638001,86.12
1638201,86.51
1638401,86.51
1638401,86.86
1638401,86.75
1638401,86.77
1638401,86.81
1638401,86.51
1638601,86.69
1639001,86.69
1639201,86.69
1639601,86.69
1639601,86.69
1639601,86.53
1639601,86.35
1639601,86.69
1639601,84.85
1639601,86.69
1639601,86.69
1639601,86.69
1639601,85.49
1639601,86.69
1639601,85.33
1639601,84.83
1639601,84.77
1639601,85.72
1639601,85.23
1639601,85.03
1639601,86.33
1639601,85.59
1639601,85.52
1639601,85.59
1639601,86.20
1639601,85.86
1639801,85.92
1640201,85.32
1640401,85.32
1640401,85.32
1640601,85.32
1640601,85.32
1641201,85.32
1641201,85.32
1641601,85.32
1641801,85.86
1641801,86.21
1641801,86.65
1641801,85.94
1641801,87.42
1641801,85.32
1641801,85.63
1641801,86.69
1641801,87.46
1641801,87.53
1641801,86.78
1641801,87.01
1642201,87.54
1642201,86.70
1642201,85.32
1642201,85.32
1642201,85.32
1642201,87.51
1642201,86.96
1642201,86.76
1642201,84.65
1642201,84.86
1642201,84.79
1642201,84.63
1642201,84.10
1642201,84.50
1642201,85.32
1642201,84.76
1642201,84.75
1642201,85.15
1642201,84.51
1642201,84.93
1642201,85.10
1642201,85.32
1642201,85.32
1642201,85.32
1642401,83.84
1642401,84.14
1642801,83.55
1643001,83.55
1643401,83.55
1644001,83.55
1644001,83.55
1644001,83.55
1644001,83.18
1644001,83.55
1644001,83.55
1644001,83.55
1644001,83.55
1644001,83.55
1644001,82.73
1644001,82.71
1644201,82.36
1644601,82.36
1644601,82.36
1644601,81.71
1644601,81.65
1644801,81.51
1645001,81.67
1645001,81.65
1645201,82.17
1645201,82.62
1645201,83.15
1645201,83.55
1645201,83.01
1645201,82.36
1645201,82.49
1645201,84.47
1645201,83.76
1645201,84.65
1645201,87.66
1645201,87.54
1645201,83.63
1645201,83.76
1645201,84.02
1645201,83.89
1645201,83.55
1645201,83.64
1645201,83.71
1645201,83.66
1645201,83.55
1645201,83.62
1645401,87.22
1645401,87.62
1645401,82.03
1645401,80.79
1645401,82.03
1645401,82.03
1645601,80.19
1645601,80.07
1646201,79.76
1646201,79.76
1646601,79.76
1646801,79.76
1646801,79.76
1647001,80.06
1647001,80.52
1647001,80.65
1647001,80.15
1647001,79.76
1647001,79.89
1647001,79.98
1647201,81.33
1647401,81.89
1647401,81.37
1647601,82.29
1647601,82.07
1647801,82.29
1647801,81.84
1648201,81.98
1648201,80.52
1648201,79.76
1648201,79.76
1648201,80.28
1648201,79.39
1648201,81.60
1648201,80.55
1648201,79.10
1648201,79.22
1648201,79.07
1648201,79.71
1648201,79.59
1648201,79.59
1648401,79.79
1648601,79.49
1648801,79.44
1649001,79.61
1649201,79.61
1649201,81.99
1649201,82.24
1649201,82.08
1649201,79.72
1649201,79.82
1649201,80.12
1650801,79.95
1650801,82.12
1650801,82.29
1650801,82.33
1650801,82.26
1650801,81.42
1650801,81.94
1650801,82.07
1650801,82.89
1650801,82.99
1650801,82.60
1650801,83.03
1650801,82.68
1650801,82.73
1650801,82.69
1650801,82.45
1650801,82.53
1650801,82.51
1651201,83.31
1651401,83.32
1651401,83.64
1651601,83.72
1651601,83.72
1651601,83.41
1652001,83.67
1652001,84.31
1652001,84.54
1652401,84.06
1652801,84.18
1652801,84.18
1653401,84.18
1653401,84.10
1653401,83.84
1653401,83.70
1653401,78.56
1653401,79.24
1653401,79.61
1653401,84.00
1653401,79.59
1653401,79.95
1653401,79.95
1653401,79.95
1653401,79.95
1653401,79.95
1653401,84.18
1653401,84.18
1653401,84.18
1653401,79.95
1653401,79.95
1653401,79.95
1653401,79.95
1653401,79.95
1653401,79.95
1653401,83.16
1653401,82.94
1653401,79.95
1653401,79.95
1653401,79.95
1653401,83.31
1653401,82.82
1653401,82.64
1653401,83.31
1653401,83.25
1653401,83.31
1653401,83.50
1653401,83.31
1653401,83.41
1653801,78.73
1653801,78.52
1654001,78.74
1654001,84.18
1654001,84.20
1654001,84.22
1654001,84.18
1654001,78.32
1654001,78.95
1654001,79.02
1654001,79.49
1654001,84.66
1654001,84.84
1654001,85.09
1654001,84.29
1654001,84.65
1654001,84.57
1654201,78.27
1654201,78.38
1654601,78.53
1654801,78.53
1654801,78.53
1655001,78.53
1655001,78.53
1655201,78.52
1655401,78.53
1655401,78.53
1655601,78.45
1655601,78.53
1655801,78.53
1656001,78.34
1656401,78.53
1656401,78.53
1657001,78.53
1657001,78.53
1657201,78.71
1657201,78.78
1657201,79.03
1657201,78.74
1657201,79.19
1657201,78.53
1657201,78.65
1657201,78.70
1657201,79.10
1657201,79.17
1657201,79.13
1657601,78.93
1658001,79.11
1658001,79.58
1658001,79.69
1658001,79.71
1658001,79.61
1658001,79.18
1658001,79.27
1658001,79.42
1658001,78.93
1658401,79.84
1658601,79.84
1658601,79.84
1658801,79.68
1658801,79.68
1659001,79.60
1659201,79.54
1659201,79.47
1659401,79.61
1659601,79.83
1659801,79.83
1659801,79.83
1660001,79.82
1660001,79.06
1660001,78.93
1660001,78.93
1660001,77.60
1660001,78.93
1660001,79.43
1660001,79.38
1660001,79.34
1660001,77.77
1660001,77.77
1660001,77.68
1660001,78.14
1660001,77.73
1660001,78.25
1660001,79.83
1660001,78.23
1660001,78.11
1660001,77.78
1660001,78.03
1660001,78.53
1660001,78.22
1660001,78.21
1660001,78.80
1660001,78.48
1660001,78.34
1660001,78.36
1660001,78.53
1660001,78.53
1660201,79.83
1660601,79.34
1660801,79.34
1661201,79.34
1661401,79.34
1661801,79.34
1661801,79.39
1661801,79.48
1661801,79.52
1661801,79.41
1661801,80.57
1661801,79.34
1661801,79.37
1661801,80.59
1661801,80.09
1661801,79.91
1661801,79.93
1661801,80.13
1661801,80.31
1661801,80.15
1661801,79.83
1661801,79.94
1661801,80.07
1661801,79.85
1661801,79.90
1661801,81.31
1661801,79.90
1661801,79.58
1661801,79.80
1661801,79.69
1662001,80.70
1662601,80.71
1662601,82.05
1662601,80.76
1662601,81.30
1662601,81.33
1662601,79.94
1662801,79.94
1662801,79.94
1662801,79.94
1662801,79.34
1662801,79.94
1662801,78.71
1662801,79.94
1662801,79.94
1662801,79.94
1662801,81.47
1662801,79.27
1662801,78.62
1662801,77.97
1662801,79.26
1662801,78.75
